%
freq per preWhitenedPer modelledPsd
325.15137 -63.14366 -64.44988 -57.31235 
326.22803 -61.30333 -62.54767 -57.37424 
327.30469 -55.75662 -56.93931 -57.43588 
328.38135 -55.83340 -56.95468 -57.49729 
329.45801 -61.32326 -62.38338 -57.55845 
330.53467 -71.83951 -72.83871 -57.61937 
331.61133 -59.64859 -60.58712 -57.68004 
332.68799 -58.38102 -59.25911 -57.74047 
333.76465 -62.62961 -63.44752 -57.80065 
334.84131 -67.43982 -68.19780 -57.86059 
335.91797 -60.71693 -61.41523 -57.92028 
336.99463 -59.91689 -60.55574 -57.97971 
338.07129 -64.88238 -65.46205 -58.03890 
339.14795 -71.09326 -71.61399 -58.09784 
340.22461 -62.68065 -63.14269 -58.15652 
341.30127 -61.93207 -62.33568 -58.21496 
342.37793 -64.96259 -65.30803 -58.27313 
343.45459 -63.46276 -63.75027 -58.33106 
344.53125 -60.91961 -61.14944 -58.38873 
345.60791 -62.70886 -62.88128 -58.44615 
346.68457 -69.77401 -69.88927 -58.50331 
347.76123 -62.22110 -62.27946 -58.56021 
348.83789 -57.83430 -57.83601 -58.61686 
349.91455 -57.05785 -57.00317 -58.67325 
350.99121 -58.74714 -58.63632 -58.72939 
352.06787 -62.70519 -62.53850 -58.78526 
353.14453 -67.96036 -67.73805 -58.84088 
354.22119 -65.35632 -65.07865 -58.89624 
355.29785 -61.71697 -61.38420 -58.95134 
356.37451 -61.22839 -60.84078 -59.00617 
357.45117 -64.57983 -64.13764 -59.06075 
358.52783 -74.45489 -73.95838 -59.11507 
359.60449 -69.24116 -68.69059 -59.16913 
360.68115 -69.06503 -68.46066 -59.22293 
361.75781 -67.56234 -66.90444 -54.59813 
362.83447 -59.07193 -58.36075 -59.32975 
363.91113 -55.34563 -54.58144 -59.38276 
364.98779 -54.97550 -54.15855 -59.43552 
366.06445 -58.15565 -57.28621 -59.48801 
367.14111 -69.75677 -68.83510 -59.54024 
368.21777 -66.30958 -65.33594 -59.59221 
369.29443 -62.16563 -61.14027 -59.64392 
370.37109 -66.29241 -65.21561 -59.69537 
371.44775 -66.12752 -64.99954 -59.74655 
372.52441 -58.95690 -57.77799 -59.79747 
373.60107 -57.17163 -55.94206 -59.84814 
374.67773 -58.95365 -57.67368 -59.89853 
375.75439 -63.60479 -62.27469 -59.94867 
376.83105 -64.27609 -62.89611 -59.99855 
377.90771 -62.70478 -61.27519 -60.04816 
378.98438 -64.11598 -62.63703 -60.09751 
380.06104 -66.21719 -64.68915 -60.14660 
381.13770 -67.00246 -65.42560 -60.19543 
382.21436 -72.41077 -70.78534 -60.24400 
383.29102 -70.05185 -68.37811 -60.29230 
384.36768 -62.81045 -61.08867 -60.34035 
385.44434 -61.71240 -59.94284 -60.38813 
386.52100 -66.34173 -64.52464 -60.43565 
387.59766 -69.08808 -67.22373 -60.48291 
388.67432 -60.53089 -58.61954 -60.52991 
389.75098 -58.36572 -56.40764 -60.57665 
390.82764 -60.29783 -58.29327 -60.62313 
391.90430 -68.95734 -66.90656 -60.66935 
392.98096 -69.15868 -67.06194 -60.71531 
394.05762 -62.30896 -60.16652 -60.76101 
395.13428 -61.76667 -59.57879 -60.80645 
396.21094 -63.77947 -61.54641 -60.85163 
397.28760 -63.00480 -60.72682 -60.89655 
398.36426 -59.40744 -57.08480 -60.94121 
399.44092 -57.00490 -54.63785 -60.98561 
