%
freq per preWhitenedPer modelledPsd
1843.75000 -85.22926 -89.91575 -83.06005 
1851.56250 -85.15473 -89.78231 -83.11896 
1859.37500 -84.34015 -88.90907 -83.17762 
1867.18750 -84.11310 -88.62362 -83.23602 
1875.00000 -84.84298 -89.29535 -83.29417 
1882.81250 -86.14444 -90.53891 -83.35207 
1890.62500 -86.99242 -91.32924 -83.40972 
1898.43750 -86.93334 -91.21276 -83.46713 
1906.25000 -86.82013 -91.04240 -83.52428 
1914.06250 -87.20008 -91.36544 -83.58119 
1921.87500 -87.83720 -91.94589 -83.63785 
1929.68750 -88.39567 -92.44794 -83.69427 
1937.50000 -89.33106 -93.32715 -83.75045 
1945.31250 -91.72880 -95.66896 -83.80639 
1953.12500 -95.16344 -99.04790 -83.86209 
1960.93750 -91.31773 -95.14673 -83.91755 
1968.75000 -86.55337 -90.32714 -83.97278 
1976.56250 -83.95514 -87.67392 -84.02776 
1984.37500 -83.00359 -86.66762 -84.08252 
1992.18750 -83.33811 -86.94761 -84.13704 
2000.00000 -84.44474 -87.99996 -84.19133 
2007.81250 -84.97494 -88.47610 -84.24539 
2015.62500 -83.90689 -87.35422 -84.29922 
2023.43750 -82.51493 -85.90866 -84.35282 
2031.25000 -81.95223 -85.29258 -80.23993 
2039.06250 -82.57752 -85.86472 -84.45935 
2046.87500 -84.48831 -87.72259 -84.51227 
2054.68750 -87.02168 -90.20325 -84.56497 
2062.50000 -87.02387 -90.15296 -84.61745 
2070.31250 -84.73150 -87.80834 -84.66971 
2078.12500 -83.23744 -86.26224 -84.72174 
2085.93750 -83.19029 -86.16327 -84.77356 
2093.75000 -84.70756 -87.62894 -84.82516 
2101.56250 -88.02808 -90.89808 -84.87655 
2109.37500 -92.16256 -94.98139 -84.92771 
2117.18750 -90.78710 -93.55498 -84.97866 
2125.00000 -87.87765 -90.59479 -85.02940 
2132.81250 -86.68452 -89.35113 -85.07993 
2140.62500 -86.95863 -89.57493 -85.13024 
2148.43750 -88.45956 -91.02576 -85.18035 
2156.25000 -90.99704 -93.51335 -85.23024 
2164.06250 -92.57191 -95.03853 -85.27993 
2171.87500 -89.63710 -92.05424 -85.32941 
2179.68750 -86.05485 -88.42272 -85.37868 
2187.50000 -83.84019 -86.15899 -85.42775 
2195.31250 -83.09700 -85.36694 -85.47661 
2203.12500 -83.86599 -86.08726 -85.52527 
2210.93750 -86.11733 -88.29015 -85.57372 
2218.75000 -87.90448 -90.02905 -85.62198 
2226.56250 -85.78529 -87.86181 -85.67003 
2234.37500 -83.41264 -85.44129 -82.65382 
2242.18750 -82.76860 -84.74960 -85.76554 
2250.00000 -84.15072 -86.08426 -85.81300 
2257.81250 -88.02502 -89.91130 -85.86026 
2265.62500 -91.10179 -92.94101 -85.90733 
2273.43750 -86.60998 -88.40233 -85.95420 
2281.25000 -83.79348 -85.53915 -86.00088 
2289.06250 -83.34663 -85.04582 -86.04736 
2296.87500 -84.92209 -86.57499 -86.09365 
2304.68750 -88.20262 -89.80941 -86.13975 
2312.50000 -90.46449 -92.02538 -86.18566 
2320.31250 -89.58453 -91.09970 -86.23138 
2328.12500 -89.93292 -91.40256 -86.27691 
2335.93750 -92.82638 -94.25068 -86.32225 
2343.75000 -92.09460 -93.47374 -86.36741 
2351.56250 -87.78034 -89.11451 -86.41238 
2359.37500 -86.24001 -87.52940 -86.45716 
2367.18750 -88.44667 -89.69146 -86.50176 
2375.00000 -103.58316 -104.78353 -86.54618 
2382.81250 -87.27561 -88.43174 -86.59041 
2390.62500 -80.21341 -81.32549 -86.63446 
2398.43750 -76.72678 -77.79500 -86.67833 
2406.25000 -74.98257 -76.00710 -86.72202 
2414.06250 -74.38849 -75.36951 -86.76553 
2421.87500 -74.62340 -75.56109 -86.80886 
2429.68750 -75.47809 -76.37263 -86.85201 
2437.50000 -76.92296 -77.77452 -74.17402 
2445.31250 -79.29748 -80.10624 -86.93778 
2453.12500 -83.64056 -84.40670 -86.98041 
2460.93750 -91.69663 -92.42032 -87.02285 
2468.75000 -86.67212 -87.35354 -87.06513 
2476.56250 -82.10581 -82.74514 -87.10723 
2484.37500 -81.13409 -81.73148 -87.14915 
